NO,NAMA GARDU,SITE,Tanggal pekerjaan,Jenis Gangguan,Penyebab,SOLUSI,ZONA,Merk Modem,Sim Card 1,Sim Card 2,Sebelum,Sesudah,Cluster
26.0,PM75,GHGD 250,2022-11-14 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
27.0,TD128,GHGD 500,2022-11-14 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,-0.6961402970506281,TELKOMSEL,XL,OFF,ON,1
28.0,CP151,GHGD 500,2022-11-14 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,1.473005092387676,TELKOMSEL,XL,OFF,ON,1
29.0,SD222,GHGD 500,2022-11-15 00:00:00,0.2709438125123148,-1.526545125811937,PEMASANGAN PERANGKAT,1.2062019352957132,1.473005092387676,TELKOMSEL,XL,OFF,ON,0
30.0,KB183,GHGD 500,2022-11-15 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.6961402970506281,TELKOMSEL,XL,OFF,ON,1
31.0,MB40,GHGD 500,2022-11-15 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
32.0,KD57A,GHGD 500,2022-11-15 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,1.473005092387676,TELKOMSEL,XL,OFF,ON,0
33.0,MP23,GHGD 500,2022-11-15 00:00:00,-1.5943140042046955,-2.388557614661565,MENAIKAN MCB,-0.5311459818823774,1.473005092387676,TELKOMSEL,XL,OFF,ON,2
34.0,P95 ,Unknown,2022-11-16 00:00:00,-3.4595718209217057,-1.957551370236751,TEST ASE 2000,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
35.0,SD81,GHGD 500,2022-11-16 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
36.0,S29D,GHGD 500,2022-11-16 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
37.0,SD222,GHGD 500,2022-11-16 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
38.0,DK70,GHGD 250,2022-11-16 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
39.0,BT225,GHGD 500,2022-11-16 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
40.0,JR103,GHGD 250,2022-11-17 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
41.0,PM75,GHGD 250,2022-11-17 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,ON,ON,1
42.0,E124,GHGD 500,2022-11-17 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,1.473005092387676,TELKOMSEL,XL,ON,ON,0
43.0,GD58B,GHGD 250,2022-11-17 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,ON,ON,0
44.0,AB12,GHGD 500,2022-11-17 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,ON,ON,0
45.0,PK74,GHGD 500,2022-11-18 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
46.0,DK70,GHGD 250,2022-11-18 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
47.0,KJ231,GHGD 250,2022-11-18 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,ON,ON,1
48.0,GD58B,GHGD 250,2022-11-19 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,ON,ON,0
49.0,GH0088,GHGD 250,2022-11-19 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,ON,ON,0
50.0,MK445,GHGD 500,2022-11-19 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,ON,ON,0
51.0,T136,GHGD 500,2022-11-20 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.6961402970506281,TELKOMSEL,-,OFF,ON,1
52.0,KJ231,GHGD 250,2022-11-21 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
53.0,GD58B,GHGD 250,2022-11-21 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,1.473005092387676,TELKOMSEL,XL,OFF,ON,0
54.0,E72N,GHGD 500,2022-11-21 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
55.0,PK74,GHGD 500,2022-11-21 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,1.473005092387676,TELKOMSEL,XL,OFF,ON,0
56.0,CK80,GHGD 250,2022-11-21 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
57.0,SD112,GHGD 500,2022-11-21 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,1.473005092387676,TELKOMSEL,XL,OFF,ON,0
58.0,AB126,GHGD 500,2022-11-21 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
59.0,MP235,GHGD 500,2022-11-21 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
60.0,TD277,GHGD 500,2022-11-22 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
61.0,TB28 ,Unknown,2022-11-22 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,1.473005092387676,TELKOMSEL,XL,OFF,ON,1
62.0,E72N,GHGD 500,2022-11-22 00:00:00,0.2709438125123148,0.1974798518873197,PERGANTIAN PERANGKAT ,0.3375279767066679,1.473005092387676,TELKOMSEL,XL,OFF,ON,0
63.0,AB63,GHGD 500,2022-11-22 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
64.0,SD81,GHGD 500,2022-11-22 00:00:00,0.2709438125123148,0.1974798518873197,CONSOLE PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,ON,ON,0
65.0,PK74,GHGD 500,2022-11-22 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,1.473005092387676,TELKOMSEL,XL,ON,ON,0
66.0,B193,GHGD 500,2022-11-22 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,1.473005092387676,TELKOMSEL,XL,ON,ON,0
67.0,MK453,GHGD 500,2022-11-22 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,1.473005092387676,TELKOMSEL,XL,ON,ON,1
68.0,MK453,GHGD 500,2022-11-23 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,1.744148266067464,TELKOMSEL,XL,ON,ON,1
69.0,MK255,GHGD 500,2022-11-23 00:00:00,-3.4595718209217057,-1.957551370236751,TEST ASE 2000,-1.3998199404714229,-0.6961402970506281,TELKOMSEL,XL,OFF,ON,2
70.0,SD81,GHGD 500,2022-11-23 00:00:00,-3.4595718209217057,-1.957551370236751,TEST ASE 2000,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
71.0,B193,GHGD 500,2022-11-23 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,1.473005092387676,TELKOMSEL,XL,ON,ON,0
72.0,PK74,GHGD 500,2022-11-23 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,1.473005092387676,TELKOMSEL,XL,ON,ON,0
73.0,BT14,GHGD 500,2022-11-23 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,1.473005092387676,TELKOMSEL,XL,OFF,ON,1
74.0,MK453,GHGD 500,2022-11-23 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,1.744148266067464,TELKOMSEL,XL,OFF,ON,1
75.0,GD84,GHGD 500,2022-11-23 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
76.0,MK445,GHGD 500,2022-11-23 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,1.473005092387676,TELKOMSEL,XL,OFF,ON,0
77.0,KJ151,GHGD 250,2022-11-23 00:00:00,-1.5943140042046955,-2.388557614661565,MENAIKAN MCB,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
78.0,GH0058,GHGD 250,2022-11-24 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
79.0,MD104,GHGD 250,2022-11-25 00:00:00,-1.5943140042046955,-4.543588836785636,REJOIN KABEL RAK TR,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
80.0,KG76N,Unknown,2022-11-25 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
81.0,PK74,GHGD 500,2022-11-25 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
82.0,JS53,GHGD 250,2022-11-25 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
83.0,PM82,GHGD 250,2022-11-25 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
84.0,KJ231,GHGD 250,2022-11-25 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
85.0,RG20,GHGD 250,2022-11-25 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
86.0,MK445,GHGD 500,2022-11-25 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
87.0,JS53,GHGD 250,2022-11-25 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
88.0,CD257,GHGD 500,2022-11-26 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
89.0,TD277,GHGD 500,2022-11-26 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
90.0,PM75,GHGD 250,2022-11-26 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
91.0,MK445,GHGD 500,2022-11-26 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
92.0,AB12,GHGD 500,2022-11-26 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
93.0,CD257,GHGD 500,2022-11-27 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
94.0,KL70,GHGD 500,2022-11-27 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
95.0,KB183,GHGD 500,2022-11-27 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.6961402970506281,TELKOMSEL,XL,OFF,ON,1
96.0,MK445,GHGD 500,2022-11-27 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,2.5575777871068275,TELKOMSEL,XL,OFF,ON,0
97.0,MK445,GHGD 500,2022-11-28 00:00:00,0.2709438125123148,0.1974798518873197,PERGANTIAN PERANGKAT ,1.2062019352957132,2.5575777871068275,TELKOMSEL,XL,OFF,ON,0
98.0,PK147N,GHGD 500,2022-11-28 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,2.5575777871068275,TELKOMSEL,XL,OFF,ON,0
99.0,PM49,GHGD 500,2022-11-28 00:00:00,-3.4595718209217057,-1.957551370236751,TEST ASE 2000,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
100.0,TG58,GHGD 500,2022-11-28 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
101.0,PM75,GHGD 250,2022-11-29 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
102.0,PK74,GHGD 500,2022-11-29 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
103.0,E151B,GHGD 250,2022-11-29 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,2.5575777871068275,TELKOMSEL,XL,OFF,ON,0
104.0,P95 ,Unknown,2022-11-30 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
105.0,TD277,GHGD 500,2022-11-30 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
106.0,PK13,GHGD 500,2022-12-01 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
107.0,MK453,GHGD 500,2022-12-01 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,2.5575777871068275,TELKOMSEL,XL,OFF,ON,1
108.0,CP19A,GHGD 500,2022-12-01 00:00:00,-1.5943140042046955,-2.388557614661565,MENAIKAN MCB,-1.3998199404714229,-0.6961402970506281,TELKOMSEL,XL,OFF,ON,2
109.0,JW53,GHGD 250,2022-12-03 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
110.0,KD210,GHGD 500,2022-12-03 00:00:00,0.2709438125123148,0.1974798518873197,PERGANTIAN PERANGKAT ,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
111.0,KB183,GHGD 500,2022-12-04 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
112.0,TP13B,GHGD 500,2022-12-04 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
113.0,BK12D,GHGD 250,2022-12-04 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
114.0,KD92,GHGD 500,2022-12-04 00:00:00,0.2709438125123148,0.1974798518873197,PERGANTIAN PERANGKAT ,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
115.0,BK12D,GHGD 250,2022-12-05 00:00:00,-1.5943140042046955,-0.2335263925374944,MENGENCANGKAN KABEL POWER,1.2062019352957132,-0.6961402970506281,TELKOMSEL,XL,OFF,ON,0
116.0,P95,GHGD 500,2022-12-05 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
117.0,GD81,GHGD 250,2022-12-05 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
118.0,E79N,GHGD 500,2022-12-05 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
119.0,RM62,GHGD 250,2022-12-05 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.6961402970506281,TELKOMSEL,XL,OFF,ON,1
120.0,KL95,GHGD 500,2022-12-06 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,-0.4249971233708401,TELKOMSEL,XL,OFF,ON,1
121.0,TD173,GHGD 500,2022-12-06 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,-0.6961402970506281,TELKOMSEL,XL,OFF,ON,1
122.0,TD277,GHGD 500,2022-12-06 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
123.0,KB257,GHGD 500,2022-12-06 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
124.0,S11,GHGD 500,2022-12-06 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
125.0,KD92,GHGD 500,2022-12-06 00:00:00,-3.4595718209217057,0.1974798518873197,TEST ASE,-0.5311459818823774,1.473005092387676,TELKOMSEL,-,OFF,ON,2
126.0,GD93,GHGD 500,2022-12-06 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
127.0,CD61,GHGD 500,2022-12-07 00:00:00,0.2709438125123148,-7.129626303334521,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
128.0,TD150A,GHGD 500,2022-12-07 00:00:00,0.2709438125123148,-7.129626303334521,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
129.0,JS171,GHGD 250,2022-12-07 00:00:00,0.2709438125123148,-7.129626303334521,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
130.0,PL50,GHGD 500,2022-12-07 00:00:00,0.2709438125123148,-7.129626303334521,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
131.0,A90,GHGD 500,2022-12-07 00:00:00,0.2709438125123148,-7.129626303334521,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
132.0,KB53,Unknown,2022-12-07 00:00:00,0.2709438125123148,-7.129626303334521,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
133.0,AB12,GHGD 500,2022-12-07 00:00:00,0.2709438125123148,-7.129626303334521,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
134.0,BT52,GHGD 500,2022-12-07 00:00:00,0.2709438125123148,-7.129626303334521,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
135.0,BT26,GHGD 500,2022-12-07 00:00:00,0.2709438125123148,-7.129626303334521,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
136.0,BT310,GHGD 500,2022-12-07 00:00:00,0.2709438125123148,-7.129626303334521,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
137.0,BT65,GHGD 500,2022-12-07 00:00:00,0.2709438125123148,-7.129626303334521,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
138.0,TD304,GHGD 500,2022-12-07 00:00:00,0.2709438125123148,-7.129626303334521,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
139.0,K61B,GHGD 500,2022-12-07 00:00:00,0.2709438125123148,-7.129626303334521,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
140.0,K3A,GHGD 500,2022-12-07 00:00:00,0.2709438125123148,-7.129626303334521,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
141.0,K1,GHGD 500,2022-12-07 00:00:00,0.2709438125123148,-7.129626303334521,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
